date,session,word,meaning,synonym_1,synonym_2,sentence_1,sentence_2
25-04-2021,1,beneficent,(adj) generous or doing good (of a person),benevolent,altruistic,Theologian discussed why a beneficent God allows bad things to happen with good people,-
25-04-2021,1,omnipotent,(adj) having unlimited power (of a deity),almighty,supreme,The omnipotent God can treat all worries,-
25-04-2021,1,estimable,(adj) admirable; worthy of great respect,-,-,Ramcharitmanas contains the study of the estimable figure of Lord Ram,-
25-04-2021,1,complaisant,(adj) willing to please others; overly polite,obliging,amenable,"Although France and Germany are close friends, neither will trust the other as a complaisant ally",-
25-04-2021,1,inveigle,(v) to win over by flattery,cajole,wheedle,Students inveigled their Professor to postpone the exam,-
25-04-2021,1,histrionic,(adj) excessively theatrical or dramatic in character or style; relating to exaggerated emotional behaviour calculated for effect,melodramatic,theatrical,Whenever the star of the movie does not get her way on the set she files into a histrionic fit,-
25-04-2021,1,reverent,(adj) feeling or showing deep and solemn respect,worshipful,-,The biologist Loren Eisley had what could be described as a reverent attitude towards nature,-
25-04-2021,1,limn,(v) to draw; describe in words,delineate,-,Artist based his painting on a sketch he had limned several years ago,-
25-04-2021,1,ethnocentric,(adj) based on the attitude that ones group is superior,-,-,Black skin people have to face an ethnocentric bias all across the world for their colour,-
25-04-2021,1,ambiguous,(adj) unclear or doubtful in meaning,equivocal,ambivalent,Students being confused by the ambiguous syllabus of the subject could not score well,-
25-04-2021,1,modicum,(n) limited quantity (especially something that is desirable or valuable),fragment,-,The book was written in a way that a reader with even a modicum of knowledge about astronomy can understand it,-
25-04-2021,1,axiomatic,(adj) self evident or unquestionable,undeniable,-,It is axiomatic that huge profits are accompanied by huge risks,-
25-04-2021,1,diaphanous,"(adj) light, delicate and translucent; insubstantial",-,-,In the war soldiers went with diaphanous dreams of glory but met with horror and death,-
25-04-2021,1,repudiate,(v) reject,renounce,abandon,In the Non Cooperation Motion people repudiated the use of foreign goods,-
25-04-2021,1,dirge,(n) hymn for the funeral,elegy,lament,The entire world joined the mournful dirge at the funeral of Prince Philip,-
25-04-2021,1,disparate,(adj) dissimalar; not able to be compared,contrasting,-,Many projects are interdisciplinary requiring a knowledge of fields as disparate as Physics and Biology,-
25-04-2021,1,recant,(v) say that one no longer holds an opinion or belief especially one considered heretical,abjure,-,The priest told the theologian that he must recant his heretical teaching or risk excommunication,-
25-04-2021,2,didactic,"(adj) intended to teach, particularly in having a moral instruction as ulterior motive",instructive,educative,The didactic story taught students to help others,-
25-04-2021,2,heretical,(adj) holding an opinion at odds with what is generally accepted,dissident,dissenting,The movie was getting great ratings but I think it was too mainstream I guess I feel a bit heretical now,-
25-04-2021,2,celestial,(adj) positioned in or relating to sky or outer space,heavenly,extraterrestrial,Use of telescope is common to study celestial objects,-
25-04-2021,2,profound,(adj) deep; intense,abstract,complex,There exists a more profound hidden reality to our human minds,-
25-04-2021,2,bacchanalian,(adj) characterized by or given to a drunken festivity,revelry,-,For some people New Year Eve is an occasion for bacchanalian revelry,-
25-04-2021,2,inconsequential,(adj) not important or significant,insignificant,unimportant,The meeting seemed inconsequential at first but later led to amazing discoveries,-
25-04-2021,2,disabuse,(v) persuade (someone) that an idea of belief is mistaken,undeceive,disillusion,The Health Ministry released their stats to public to disabuse them of the idea that vaccination is ineffective,-
25-04-2021,2,exact,(v) demand and obtain by authority,require,demand,The Mughals exacted 10% tax from people for pilgrimage visits,-
25-04-2021,2,platitude,(n) stale and overused expression,cliche,truism,Though the marriage of Utkarsh was not going good he took the comfort in the platitude that first six months are always difficult,-
25-04-2021,2,forbearance,(n) patience,toleration,endurance,President warned that great courage and forbearance would be required too see the war through a successful conclusion,-
25-04-2021,2,ambivalence,(n) state of having conflicting emotional attitudes,uncertainity,-,John felt some ambivalence about getting married before college,-
25-04-2021,2,allure,(n) power to attract by charm,entice,-,Great rewards allure men to face dangers,-
25-04-2021,2,pathological,(adj) departing from normal condition,-,-,My sister is a pathological liar who never tells the truth about anything,-
25-04-2021,2,loquacious,(adj) talkative,voluble,garrulous,Sarah was never loquacious and hence she performed badly in her Group Discussion,-
25-04-2021,2,cosmology,(n) Study of the universe as a totality,-,-,Modern Cosmology believes that the universe came into existence 15 billion years ago,-
25-04-2021,2,ambrosia,(n) something delicious; food of the gods,-,-,The combination of flavors in the Indian Curry was pure ambrosia,-
25-04-2021,2,canard,(n) deliberately misleading story; unfounded rumour,hoax,-,Most politicians do not want to be associated with the old canard that the central government can solve any problem,-
25-04-2021,2,dissemble,(v) conceal or disguise ones true feelings or beliefs,pretend,dissimulate,Lawyer alleged that the witness is dissembling and hence requested to nullify the testimony,-
25-04-2021,2,vendetta,(n) prolonged feud marked by bitter hostility,quarrel,wrangle,The judge warned both the families that the vendetta between them has to end at once,-
25-04-2021,2,Machiavellian,"(adj) cunning and scheming, especially in politics",unscrupulous,devious,To say that the Chinese Government adopted the Machiavellian policy of spreading COVID for their benefit is an overstatement,-
26-04-2021,1,wistful,(adj) having or showing a feeling of vague and regretful longing,nostalgic,yearning,The poem casts a wistful look back at a way of life that has vanished forever,-
26-04-2021,1,embellish,(v) to adorn; decorate,enhance,-,The story he had been told was so powerful that the writer felt no need to embellish it,-
26-04-2021,1,elegy,"(n) poem or song expressing lamentation, especially for the dead",dirge,-,Percy Shelly wrote an elegy after he heard about the death of his old friend,-
26-04-2021,1,demotic,(adj) pertaining to ordinary people,colloquial,-,The poet in his work celebrated the glory of an ordinary person so critics praised him as a poet who could make the demotic sing,-
26-04-2021,1,anarchy,(n) absence of government; state of disorder,mobocracy,-,Intellectuals do not advocate anarchy instead suggest a minimum state that would not violate the human rights,-
26-04-2021,1,gainsay,(v) to contradict or deny,dispute,oppose,No one can gainsay the fact that she put great efforts in her projects and hence received good grades,-
26-04-2021,1,premonition,"(n) a strong feeling that something is about to happen, especially something unpleasant",forewarning,presentiment,Shortly after his re-election Abraham Lincoln had a premoniton of his death and he was shot the next day,-
26-04-2021,1,venerate,(v) regard with great respect,honor,revere,Mother Teresa is venerated for her compassion for the poor people of India,-
26-04-2021,1,recluse,(n) person who lives a solitary life and tends to avoid other people,hermit,ascetic,The monk spent three years of his life as a recluse praying and meditating,-
26-04-2021,1,zealot,(n) one who is fanatically devoted to a cause,enthusiast,fanatic,The artistic zealot devoted the life of the artist to the completion of his masterpiece,-
26-04-2021,1,exorcise,(v) to expel out evil spirits; free from bad influences,cast out,cleanse,A modern parallel to the shaman is the psychiatrist who helps the patient exorcise personal demons and guides him towards mental wholeness,-
26-04-2021,1,machinations,(n) plot or scheme,conspiracies,-,The mayor resorted to behind-the-scenes machinations to try to win the nomination for governor,-
26-04-2021,1,peregrination,"(n) a journey, especially a long and meandering one",voyage,expidition,Swami Vivekanands peregrinations took him all over India,-
26-04-2021,1,suppliant,"(n) making or expressing a plea, especially to someone in authority",beseeching,pleading,The worshippers raised their suppliant voices to God asking for forgiveness,-
26-04-2021,1,platonic,(adj) (of love or friendship) intimate and affectionate but not sexual,chaste,-,Gradually what had been a platonic relationship between Tim and Kyoto turned into a romantic one,-
26-04-2021,1,congenial,(adj) similar in tastes and habits,like-minded,compatible,Marie and Pierre Curie were so congenial in their ideas in science that they ended up marrying,-
26-04-2021,1,maelstrom,(n) whirlpool; state of disturbance,vortex,turmoil,The ship was trapped in the maelstrom of the sea,Nearly everyone was caught up the the maelstrom of WWII
26-04-2021,1,oscillate,(v) to move back and forth,swing,-,A pendulum oscillated between its extreme positions,-
26-04-2021,1,gustatory,(adj) concerned with sense of taste,-,-,According to scientists gustatory senses are highly dependent on olfactory senses,-
26-04-2021,1,recondite,(adj) little known,abstance,esoteric,Many classical texts are now considered recondite by most modern readers,-
26-04-2021,2,hegemony,"(n) influence or authority over others; domination, especially social",-,-,The two countries went to war fighting for hegemony over the entire region,-
